langpair	system	metric	segmenter	manual	realigned	delta
en-es	ONLINE-B	bleu	flores200	49.2426	49.2259	-0.0167
en-es	ONLINE-B	chrfpp	flores200	66.8191	66.7838	-0.0353
en-es	ONLINE-B	bleu	spm32k	49.2426	49.2339	-0.0087
en-es	ONLINE-B	chrfpp	spm32k	66.8191	66.7829	-0.0362
en-es	ONLINE-B	bleu	spm64k	49.2426	49.2372	-0.0053
en-es	ONLINE-B	chrfpp	spm64k	66.8191	66.7793	-0.0398
en-es	ONLINE-B	bleu	spm128k	49.2426	49.2334	-0.0091
en-es	ONLINE-B	chrfpp	spm128k	66.8191	66.7745	-0.0446
en-es	ONLINE-B	bleu	spm256k	49.2426	49.2225	-0.0201
en-es	ONLINE-B	chrfpp	spm256k	66.8191	66.7547	-0.0645
en-es	Llama3-70B	bleu	none	45.6888	45.5772	-0.1116
en-es	Llama3-70B	chrfpp	none	64.4621	64.2999	-0.1622
en-es	Llama3-70B	bleu	flores200	45.6888	45.6762	-0.0126
en-es	Llama3-70B	chrfpp	flores200	64.4621	64.4247	-0.0374
en-es	Llama3-70B	bleu	spm32k	45.6888	45.6790	-0.0098
en-es	Llama3-70B	chrfpp	spm32k	64.4621	64.4299	-0.0322
en-es	Llama3-70B	bleu	spm64k	45.6888	45.6752	-0.0137
en-es	Llama3-70B	chrfpp	spm64k	64.4621	64.4191	-0.0430
en-es	Llama3-70B	bleu	spm128k	45.6888	45.6731	-0.0157
en-es	Llama3-70B	chrfpp	spm128k	64.4621	64.4240	-0.0381
en-es	Llama3-70B	bleu	spm256k	45.6888	45.6653	-0.0235
en-es	Llama3-70B	chrfpp	spm256k	64.4621	64.4098	-0.0523
en-es	ONLINE-A	bleu	none	50.4886	50.4203	-0.0684
en-es	ONLINE-A	chrfpp	none	67.6661	67.5368	-0.1293
en-es	ONLINE-A	bleu	flores200	50.4886	50.4720	-0.0167
en-es	ONLINE-A	chrfpp	flores200	67.6661	67.6168	-0.0493
en-es	ONLINE-A	bleu	spm32k	50.4886	50.4679	-0.0208
en-es	ONLINE-A	chrfpp	spm32k	67.6661	67.6185	-0.0476
en-es	ONLINE-A	bleu	spm64k	50.4886	50.4715	-0.0172
en-es	ONLINE-A	chrfpp	spm64k	67.6661	67.6087	-0.0574
en-es	ONLINE-A	bleu	spm128k	50.4886	50.4703	-0.0183
en-es	ONLINE-A	chrfpp	spm128k	67.6661	67.6193	-0.0469
en-es	ONLINE-A	bleu	spm256k	50.4886	50.4571	-0.0315
en-es	ONLINE-A	chrfpp	spm256k	67.6661	67.6108	-0.0554
en-es	ONLINE-G	bleu	none	47.3588	47.1755	-0.1833
