langpair	system	metric	segmenter	manual	realigned	delta
en-is	ONLINE-B	chrfpp	spm256k	45.2279	45.1609	-0.0671
en-is	Llama3-70B	bleu	none	17.6122	17.3658	-0.2464
en-is	Llama3-70B	chrfpp	none	37.9256	37.6081	-0.3175
en-is	Llama3-70B	bleu	flores200	17.6122	17.5888	-0.0233
en-is	Llama3-70B	chrfpp	flores200	37.9256	37.8634	-0.0622
en-is	Llama3-70B	bleu	spm32k	17.6122	17.5827	-0.0295
en-is	Llama3-70B	chrfpp	spm32k	37.9256	37.8589	-0.0667
en-is	Llama3-70B	bleu	spm64k	17.6122	17.5825	-0.0296
en-is	Llama3-70B	chrfpp	spm64k	37.9256	37.8569	-0.0687
en-is	Llama3-70B	bleu	spm128k	17.6122	17.5784	-0.0337
en-is	Llama3-70B	chrfpp	spm128k	37.9256	37.8614	-0.0642
en-is	Llama3-70B	bleu	spm256k	17.6122	17.5743	-0.0379
en-is	Llama3-70B	chrfpp	spm256k	37.9256	37.8421	-0.0835
en-is	ONLINE-A	bleu	none	24.9064	24.6460	-0.2604
en-is	ONLINE-A	chrfpp	none	43.7037	43.3749	-0.3288
en-is	ONLINE-A	bleu	flores200	24.9064	24.8532	-0.0532
en-is	ONLINE-A	chrfpp	flores200	43.7037	43.6381	-0.0656
en-is	ONLINE-A	bleu	spm32k	24.9064	24.8403	-0.0661
en-is	ONLINE-A	chrfpp	spm32k	43.7037	43.6255	-0.0782
en-is	ONLINE-A	bleu	spm64k	24.9064	24.8267	-0.0797
en-is	ONLINE-A	chrfpp	spm64k	43.7037	43.6331	-0.0706
en-is	ONLINE-A	bleu	spm128k	24.9064	24.8383	-0.0682
en-is	ONLINE-A	chrfpp	spm128k	43.7037	43.6310	-0.0727
en-is	ONLINE-A	bleu	spm256k	24.9064	24.8583	-0.0481
en-is	ONLINE-A	chrfpp	spm256k	43.7037	43.6304	-0.0733
en-is	ONLINE-G	bleu	none	22.5041	22.2818	-0.2223
en-is	ONLINE-G	chrfpp	none	42.2012	41.8529	-0.3483
en-is	ONLINE-G	bleu	flores200	22.5041	22.4387	-0.0653
en-is	ONLINE-G	chrfpp	flores200	42.2012	42.1041	-0.0971
en-is	ONLINE-G	bleu	spm32k	22.5041	22.4298	-0.0743
en-is	ONLINE-G	chrfpp	spm32k	42.2012	42.1022	-0.0990
en-is	ONLINE-G	bleu	spm64k	22.5041	22.4282	-0.0759
en-is	ONLINE-G	chrfpp	spm64k	42.2012	42.1156	-0.0856
en-is	ONLINE-G	bleu	spm128k	22.5041	22.4603	-0.0438
en-is	ONLINE-G	chrfpp	spm128k	42.2012	42.1368	-0.0644
en-is	ONLINE-G	bleu	spm256k	22.5041	22.4555	-0.0486
en-is	ONLINE-G	chrfpp	spm256k	42.2012	42.1406	-0.0606
en-is	Mistral-Large	bleu	none	12.5992	12.0970	-0.5021
en-is	Mistral-Large	chrfpp	none	33.2589	32.7755	-0.4834
en-is	Mistral-Large	bleu	flores200	12.5992	12.5562	-0.0430
en-is	Mistral-Large	chrfpp	flores200	33.2589	33.1728	-0.0861
en-is	Mistral-Large	bleu	spm32k	12.5992	12.5552	-0.0440
en-is	Mistral-Large	chrfpp	spm32k	33.2589	33.1918	-0.0671
en-is	Mistral-Large	bleu	spm64k	12.5992	12.5437	-0.0554
en-is	Mistral-Large	chrfpp	spm64k	33.2589	33.2012	-0.0577
en-is	Mistral-Large	bleu	spm128k	12.5992	12.5555	-0.0437
en-is	Mistral-Large	chrfpp	spm128k	33.2589	33.1756	-0.0833
en-is	Mistral-Large	bleu	spm256k	12.5992	12.5455	-0.0536
en-is	Mistral-Large	chrfpp	spm256k	33.2589	33.1765	-0.0824
en-is	GPT-4	bleu	none	23.3611	23.1139	-0.2473
en-is	GPT-4	chrfpp	none	42.7929	42.5138	-0.2791
en-is	GPT-4	bleu	flores200	23.3611	23.3360	-0.0252
en-is	GPT-4	chrfpp	flores200	42.7929	42.7393	-0.0537
en-is	GPT-4	bleu	spm32k	23.3611	23.3179	-0.0432
