label	langpair	system	segmenter	ok	n_boundaries	boundaries_correct	n_segments	segments_exact	total_words	avg_words_per_seg	n_domains	max_domain_words	sum_domain_sq	wall_seconds
fixed	en-es	Gemini-1.5-Pro	none	1	993	845	997	732	37588	37.701	4	12117	364703786	2.615
fixed	en-es	Mistral-Large	none	1	993	855	997	749	34991	35.096	4	9467	307694403	2.469
fixed	en-es	Claude-3.5	none	1	993	897	997	812	34799	34.904	4	9393	304080967	2.411
fixed	en-es	GPT-4	none	1	993	879	997	782	34305	34.408	4	9396	295590843	2.376
fixed	en-es	Phi-3-Medium	none	1	993	844	997	719	34344	34.447	4	9462	296404466	2.438
fixed	en-hi	CycleL	none	1	993	80	997	6	36430	36.54	4	10462	334258558	3.351
fixed	en-hi	IKUN	none	1	993	516	997	310	26625	26.705	4	9024	185012787	2.373
fixed	en-hi	IKUN-C	none	1	993	598	997	389	32854	32.953	4	9695	275112286	2.725
fixed	en-hi	IOL-Research	none	1	993	761	997	592	37430	37.543	4	9745	350605556	2.909
fixed	en-hi	NVIDIA-NeMo	none	1	993	609	997	390	37892	38.006	4	10094	359535600	3.015
fixed	en-hi	TranssionMT	none	1	993	787	997	632	38154	38.269	4	9936	364220402	2.952
fixed	en-hi	Unbabel-Tower70B	none	1	993	744	997	573	38849	38.966	4	10302	377832105	3.055
fixed	en-hi	Aya23	none	1	993	706	997	518	37267	37.379	4	9722	347564821	2.916
fixed	en-hi	CommandR-plus	none	1	993	697	997	504	38417	38.533	4	10218	369605777	2.997
fixed	en-hi	ONLINE-empty	none	1	993	993	997	997	0	0.0	4	0	0	0.249
fixed	en-hi	ONLINE-B	none	1	993	780	997	623	38161	38.276	4	9944	364364563	3.044
fixed	en-hi	Llama3-70B	none	1	993	710	997	524	36866	36.977	4	9911	340513260	2.95
fixed	en-hi	ONLINE-A	none	1	993	746	997	571	38173	38.288	4	9944	364535765	2.97
fixed	en-hi	ONLINE-G	none	1	993	549	997	293	39575	39.694	4	10463	391986999	3.138
fixed	en-hi	Gemini-1.5-Pro	none	1	993	784	997	635	39028	39.145	4	10685	382033734	3.008
