variant	variant_label	langpair	system	segmenter	ok	n_segments	total_words	avg_words_per_seg	n_domains	max_domain_words	sum_domain_sq	wall_seconds
legacy_none	legacy (none)	en-is	CycleL	none	1	997	29746	29.836	4	8293	222296406	2.168
legacy_none	legacy (none)	en-is	Dubformer	none	1	997	30597	30.689	4	8316	234676197	2.268
legacy_none	legacy (none)	en-is	IKUN	none	1	997	31758	31.854	4	8497	252617078	2.388
legacy_none	legacy (none)	en-is	IKUN-C	none	1	997	30592	30.684	4	8293	234547338	2.327
legacy_none	legacy (none)	en-is	IOL-Research	none	1	997	30752	30.845	4	8325	236992212	2.195
legacy_none	legacy (none)	en-is	TranssionMT	none	1	997	31268	31.362	4	8317	244784942	2.341
legacy_none	legacy (none)	en-is	TSU-HITs	none	1	997	14929	14.974	4	4423	56993583	1.233
legacy_none	legacy (none)	en-is	Unbabel-Tower70B	none	1	997	31701	31.796	4	8649	251945127	2.433
legacy_none	legacy (none)	en-is	Aya23	none	1	997	30644	30.736	4	8341	235392396	2.331
legacy_none	legacy (none)	en-is	CommandR-plus	none	1	997	31541	31.636	4	8675	249567229	2.467
legacy_none	legacy (none)	en-is	ONLINE-empty	none	1	997	0	0.0	4	0	0	0.204
legacy_none	legacy (none)	en-is	ONLINE-B	none	1	997	31270	31.364	4	8312	244812436	2.365
legacy_none	legacy (none)	en-is	Llama3-70B	none	1	997	30966	31.059	4	8438	240380910	2.345
legacy_none	legacy (none)	en-is	ONLINE-A	none	1	997	30803	30.896	4	8311	237704223	2.167
legacy_none	legacy (none)	en-is	ONLINE-G	none	1	997	30807	30.9	4	8307	237828897	2.166
legacy_none	legacy (none)	en-is	Mistral-Large	none	1	997	32777	32.876	4	9238	270036609	2.54
legacy_none	legacy (none)	en-is	GPT-4	none	1	997	31215	31.309	4	8539	244328321	2.351
legacy_none	legacy (none)	en-is	Phi-3-Medium	none	1	997	31135	31.229	4	8526	243806935	2.254
legacy_none	legacy (none)	en-ja	AIST-AIRC	none	1	997	3765	3.776	4	1285	3903259	0.42
legacy_none	legacy (none)	en-ja	CycleL	none	1	997	5199	5.215	4	2076	7685477	0.357
legacy_none	legacy (none)	en-ja	DLUT-GTCOM	none	1	997	1234	1.238	4	670	556860	0.212
legacy_none	legacy (none)	en-ja	IKUN	none	1	997	1298	1.302	4	698	612996	0.217
legacy_none	legacy (none)	en-ja	IKUN-C	none	1	997	1290	1.294	4	723	635450	0.214
legacy_none	legacy (none)	en-ja	IOL-Research	none	1	997	1658	1.663	4	903	1008510	0.224
legacy_none	legacy (none)	en-ja	NTTSU	none	1	997	1562	1.567	4	825	867214	0.227
legacy_none	legacy (none)	en-ja	NVIDIA-NeMo	none	1	997	2557	2.565	4	1419	2504845	0.26
