label	langpair	system	segmenter	ok	n_boundaries	boundaries_correct	n_segments	segments_exact	total_words	avg_words_per_seg	n_domains	max_domain_words	sum_domain_sq	wall_seconds
spm128k	en-es	ONLINE-A	spm128k	1	993	932	997	881	34587	34.691	4	9542	300492815	6.036
spm128k	en-es	ONLINE-G	spm128k	1	993	927	997	871	34057	34.159	4	9302	291299341	5.799
spm128k	en-es	Gemini-1.5-Pro	spm128k	1	993	902	997	823	37588	37.701	4	12117	364703786	6.678
spm128k	en-es	Mistral-Large	spm128k	1	993	931	997	877	34991	35.096	4	9467	307694403	5.925
spm128k	en-es	Claude-3.5	spm128k	1	993	941	997	898	34799	34.904	4	9393	304080967	5.861
spm128k	en-es	GPT-4	spm128k	1	993	937	997	888	34305	34.408	4	9396	295590843	6.014
spm128k	en-es	Phi-3-Medium	spm128k	1	993	920	997	857	34344	34.447	4	9462	296404466	6.027
spm128k	en-hi	CycleL	spm128k	1	993	211	997	85	36430	36.54	4	10462	334258558	9.585
spm128k	en-hi	IKUN	spm128k	1	993	613	997	427	26625	26.705	4	9024	185012787	6.467
spm128k	en-hi	IKUN-C	spm128k	1	993	708	997	533	32854	32.953	4	9695	275112286	7.495
spm128k	en-hi	IOL-Research	spm128k	1	993	840	997	720	37430	37.543	4	9745	350605556	8.099
spm128k	en-hi	NVIDIA-NeMo	spm128k	1	993	787	997	630	37892	38.006	4	10094	359535600	8.042
spm128k	en-hi	TranssionMT	spm128k	1	993	873	997	781	38154	38.269	4	9936	364220402	8.28
spm128k	en-hi	Unbabel-Tower70B	spm128k	1	993	832	997	707	38849	38.966	4	10302	377832105	8.366
spm128k	en-hi	Aya23	spm128k	1	993	826	997	694	37267	37.379	4	9722	347564821	8.151
spm128k	en-hi	CommandR-plus	spm128k	1	993	827	997	702	38417	38.533	4	10218	369605777	8.427
spm128k	en-hi	ONLINE-empty	spm128k	1	993	993	997	997	0	0.0	4	0	0	0.368
spm128k	en-hi	ONLINE-B	spm128k	1	993	854	997	750	38161	38.276	4	9944	364364563	8.389
spm128k	en-hi	Llama3-70B	spm128k	1	993	838	997	720	36866	36.977	4	9911	340513260	8.101
spm128k	en-hi	ONLINE-A	spm128k	1	993	849	997	740	38173	38.288	4	9944	364535765	8.156
spm128k	en-hi	ONLINE-G	spm128k	1	993	807	997	665	39575	39.694	4	10463	391986999	8.409
spm128k	en-hi	Gemini-1.5-Pro	spm128k	1	993	871	997	771	39028	39.145	4	10685	382033734	8.577
spm128k	en-hi	Mistral-Large	spm128k	1	993	796	997	658	41047	41.171	4	11800	425326099	8.864
spm128k	en-hi	Claude-3.5	spm128k	1	993	867	997	768	38555	38.671	4	10414	372579887	8.281
spm128k	en-hi	Phi-3-Medium	spm128k	1	993	727	997	554	42412	42.54	4	11185	450892174	9.059
spm128k	en-is	AMI	spm128k	1	993	861	997	753	31079	31.173	4	8317	241876589	13.594
spm128k	en-is	CycleL	spm128k	1	993	587	997	387	29746	29.836	4	8293	222296406	14.291
spm128k	en-is	Dubformer	spm128k	1	993	862	997	757	30597	30.689	4	8316	234676197	13.424
spm128k	en-is	IKUN	spm128k	1	993	799	997	653	31758	31.854	4	8497	252617078	13.79
spm128k	en-is	IKUN-C	spm128k	1	993	844	997	718	30592	30.684	4	8293	234547338	13.376
spm128k	en-is	IOL-Research	spm128k	1	993	799	997	658	30752	30.845	4	8325	236992212	13.461
spm128k	en-is	TranssionMT	spm128k	1	993	863	997	763	31268	31.362	4	8317	244784942	13.492
spm128k	en-is	TSU-HITs	spm128k	1	993	277	997	78	14929	14.974	4	4423	56993583	7.507
spm128k	en-is	Unbabel-Tower70B	spm128k	1	993	868	997	764	31701	31.796	4	8649	251945127	13.939
spm128k	en-is	Aya23	spm128k	1	993	787	997	632	30644	30.736	4	8341	235392396	13.627
spm128k	en-is	CommandR-plus	spm128k	1	993	758	997	600	31541	31.636	4	8675	249567229	14.19
spm128k	en-is	ONLINE-empty	spm128k	1	993	993	997	997	0	0.0	4	0	0	0.32
spm128k	en-is	ONLINE-B	spm128k	1	993	871	997	772	31270	31.364	4	8312	244812436	13.592
spm128k	en-is	Llama3-70B	spm128k	1	993	838	997	718	30966	31.059	4	8438	240380910	13.882
spm128k	en-is	ONLINE-A	spm128k	1	993	842	997	722	30803	30.896	4	8311	237704223	13.418
spm128k	en-is	ONLINE-G	spm128k	1	993	838	997	720	30807	30.9	4	8307	237828897	13.462
spm128k	en-is	Mistral-Large	spm128k	1	993	816	997	679	32777	32.876	4	9238	270036609	14.385
spm128k	en-is	GPT-4	spm128k	1	993	851	997	744	31215	31.309	4	8539	244328321	13.814
spm128k	en-is	Phi-3-Medium	spm128k	1	993	668	997	488	31135	31.229	4	8526	243806935	14.764
spm128k	en-ja	AIST-AIRC	spm128k	1	993	918	997	859	3765	3.776	4	1285	3903259	5.779
spm128k	en-ja	CycleL	spm128k	1	993	478	997	127	5199	5.215	4	2076	7685477	7.806
spm128k	en-ja	DLUT-GTCOM	spm128k	1	993	974	997	936	1234	1.238	4	670	556860	5.839
spm128k	en-ja	IKUN	spm128k	1	993	977	997	966	1298	1.302	4	698	612996	5.405
spm128k	en-ja	IKUN-C	spm128k	1	993	980	997	971	1290	1.294	4	723	635450	5.279
spm128k	en-ja	IOL-Research	spm128k	1	993	974	997	961	1658	1.663	4	903	1008510	5.415
spm128k	en-ja	NTTSU	spm128k	1	993	974	997	960	1562	1.567	4	825	867214	5.452
spm128k	en-ja	NVIDIA-NeMo	spm128k	1	993	909	997	839	2557	2.565	4	1419	2504845	5.844
spm128k	en-ja	Team-J	spm128k	1	993	982	997	975	1372	1.376	4	736	678474	5.571
spm128k	en-ja	Unbabel-Tower70B	spm128k	1	993	978	997	968	1344	1.348	4	755	689250	5.648
spm128k	en-ja	UvA-MT	spm128k	1	993	828	997	721	4968	4.983	4	1838	6953960	5.433
spm128k	en-ja	Aya23	spm128k	1	993	978	997	967	1430	1.434	4	742	709994	5.565
spm128k	en-ja	CommandR-plus	spm128k	1	993	981	997	972	1491	1.495	4	771	767735	5.696
spm128k	en-ja	ONLINE-W	spm128k	1	993	968	997	948	1289	1.293	4	680	587373	5.165
spm128k	en-ja	ONLINE-B	spm128k	1	993	981	997	975	2050	2.056	4	1066	1473802	5.626
spm128k	en-ja	Llama3-70B	spm128k	1	993	971	997	954	1498	1.503	4	902	934012	5.684
spm128k	en-ja	ONLINE-A	spm128k	1	993	979	997	969	1332	1.336	4	742	670602	5.637
spm128k	en-ja	ONLINE-G	spm128k	1	993	956	997	925	2494	2.502	4	800	1649630	6.079
spm128k	en-ja	Gemini-1.5-Pro	spm128k	1	993	950	997	919	2713	2.721	4	1623	3151623	6.167
spm128k	en-ja	Mistral-Large	spm128k	1	993	979	997	969	1409	1.413	4	782	744975	5.61
spm128k	en-ja	Claude-3.5	spm128k	1	993	976	997	965	2077	2.083	4	1041	1477481	5.692
spm128k	en-ja	GPT-4	spm128k	1	993	983	997	977	1342	1.346	4	723	650862	5.576
