label	langpair	system	segmenter	ok	n_boundaries	boundaries_correct	n_segments	segments_exact	total_words	avg_words_per_seg	n_domains	max_domain_words	sum_domain_sq	wall_seconds
legacy	en-hi	ONLINE-empty	none	1	993	993	997	997	0	0.0	4	0	0	0.251
legacy	en-hi	ONLINE-B	none	1	993	14	997	0	38161	38.276	4	9944	364364563	2.858
legacy	en-hi	Llama3-70B	none	1	993	31	997	4	36866	36.977	4	9911	340513260	2.891
legacy	en-hi	ONLINE-A	none	1	993	1	997	0	38173	38.288	4	9944	364535765	2.822
legacy	en-hi	ONLINE-G	none	1	993	7	997	0	39575	39.694	4	10463	391986999	2.944
legacy	en-hi	Gemini-1.5-Pro	none	1	993	9	997	4	39028	39.145	4	10685	382033734	2.942
legacy	en-hi	Mistral-Large	none	1	993	1	997	1	41047	41.171	4	11800	425326099	3.037
legacy	en-hi	Claude-3.5	none	1	993	1	997	0	38555	38.671	4	10414	372579887	2.858
legacy	en-hi	Phi-3-Medium	none	1	993	2	997	14	42412	42.54	4	11185	450892174	3.084
legacy	en-is	AMI	none	1	993	94	997	29	31079	31.173	4	8317	241876589	2.477
legacy	en-is	CycleL	none	1	993	41	997	13	29746	29.836	4	8293	222296406	2.168
legacy	en-is	Dubformer	none	1	993	30	997	9	30597	30.689	4	8316	234676197	2.268
legacy	en-is	IKUN	none	1	993	100	997	23	31758	31.854	4	8497	252617078	2.388
legacy	en-is	IKUN-C	none	1	993	86	997	25	30592	30.684	4	8293	234547338	2.327
legacy	en-is	IOL-Research	none	1	993	19	997	0	30752	30.845	4	8325	236992212	2.195
legacy	en-is	TranssionMT	none	1	993	44	997	4	31268	31.362	4	8317	244784942	2.341
legacy	en-is	TSU-HITs	none	1	993	12	997	0	14929	14.974	4	4423	56993583	1.233
legacy	en-is	Unbabel-Tower70B	none	1	993	96	997	32	31701	31.796	4	8649	251945127	2.433
legacy	en-is	Aya23	none	1	993	76	997	21	30644	30.736	4	8341	235392396	2.331
legacy	en-is	CommandR-plus	none	1	993	110	997	17	31541	31.636	4	8675	249567229	2.467
legacy	en-is	ONLINE-empty	none	1	993	993	997	997	0	0.0	4	0	0	0.204
legacy	en-is	ONLINE-B	none	1	993	43	997	4	31270	31.364	4	8312	244812436	2.365
legacy	en-is	Llama3-70B	none	1	993	76	997	16	30966	31.059	4	8438	240380910	2.345
legacy	en-is	ONLINE-A	none	1	993	1	997	0	30803	30.896	4	8311	237704223	2.167
legacy	en-is	ONLINE-G	none	1	993	1	997	0	30807	30.9	4	8307	237828897	2.166
legacy	en-is	Mistral-Large	none	1	993	92	997	29	32777	32.876	4	9238	270036609	2.54
legacy	en-is	GPT-4	none	1	993	53	997	22	31215	31.309	4	8539	244328321	2.351
legacy	en-is	Phi-3-Medium	none	1	993	27	997	43	31135	31.229	4	8526	243806935	2.254
legacy	en-ja	AIST-AIRC	none	1	993	19	997	0	3765	3.776	4	1285	3903259	0.42
legacy	en-ja	CycleL	none	1	993	66	997	0	5199	5.215	4	2076	7685477	0.357
legacy	en-ja	DLUT-GTCOM	none	1	993	83	997	38	1234	1.238	4	670	556860	0.212
legacy	en-ja	IKUN	none	1	993	73	997	16	1298	1.302	4	698	612996	0.217
legacy	en-ja	IKUN-C	none	1	993	67	997	5	1290	1.294	4	723	635450	0.214
legacy	en-ja	IOL-Research	none	1	993	70	997	17	1658	1.663	4	903	1008510	0.224
legacy	en-ja	NTTSU	none	1	993	66	997	5	1562	1.567	4	825	867214	0.227
legacy	en-ja	NVIDIA-NeMo	none	1	993	27	997	4	2557	2.565	4	1419	2504845	0.26
legacy	en-ja	Team-J	none	1	993	75	997	18	1372	1.376	4	736	678474	0.242
legacy	en-ja	Unbabel-Tower70B	none	1	993	78	997	22	1344	1.348	4	755	689250	0.238
legacy	en-ja	UvA-MT	none	1	993	18	997	2	4968	4.983	4	1838	6953960	0.286
legacy	en-ja	Aya23	none	1	993	70	997	15	1430	1.434	4	742	709994	0.231
legacy	en-ja	CommandR-plus	none	1	993	76	997	6	1491	1.495	4	771	767735	0.236
legacy	en-ja	ONLINE-W	none	1	993	76	997	35	1289	1.293	4	680	587373	0.228
legacy	en-ja	ONLINE-B	none	1	993	45	997	10	2050	2.056	4	1066	1473802	0.248
