langpair	system	metric	segmenter	manual	realigned	delta
en-zh	CommandR-plus	chrfpp	spm256k	31.9162	31.8766	-0.0396
en-zh	ONLINE-W	bleu	none	42.5748	9.1463	-33.4286
en-zh	ONLINE-W	chrfpp	none	39.0190	13.1776	-25.8414
en-zh	ONLINE-W	bleu	flores200	42.5748	42.5517	-0.0231
en-zh	ONLINE-W	chrfpp	flores200	39.0190	35.1402	-3.8788
en-zh	ONLINE-W	bleu	spm32k	42.5748	42.5642	-0.0106
en-zh	ONLINE-W	chrfpp	spm32k	39.0190	39.0126	-0.0065
en-zh	ONLINE-W	bleu	spm64k	42.5748	42.5680	-0.0068
en-zh	ONLINE-W	chrfpp	spm64k	39.0190	39.0152	-0.0038
en-zh	ONLINE-W	bleu	spm128k	42.5748	42.5671	-0.0077
en-zh	ONLINE-W	chrfpp	spm128k	39.0190	39.0130	-0.0061
en-zh	ONLINE-W	bleu	spm256k	42.5748	42.5621	-0.0127
en-zh	ONLINE-W	chrfpp	spm256k	39.0190	39.0032	-0.0158
en-zh	ONLINE-B	bleu	none	41.4445	8.1676	-33.2769
en-zh	ONLINE-B	chrfpp	none	37.8123	11.9516	-25.8607
en-zh	ONLINE-B	bleu	flores200	41.4445	41.4352	-0.0093
en-zh	ONLINE-B	chrfpp	flores200	37.8123	33.8582	-3.9541
en-zh	ONLINE-B	bleu	spm32k	41.4445	41.3940	-0.0505
en-zh	ONLINE-B	chrfpp	spm32k	37.8123	37.7592	-0.0531
en-zh	ONLINE-B	bleu	spm64k	41.4445	41.4362	-0.0083
en-zh	ONLINE-B	chrfpp	spm64k	37.8123	37.7904	-0.0220
en-zh	ONLINE-B	bleu	spm128k	41.4445	41.4386	-0.0059
en-zh	ONLINE-B	chrfpp	spm128k	37.8123	37.7908	-0.0216
en-zh	ONLINE-B	bleu	spm256k	41.4445	41.4314	-0.0131
en-zh	ONLINE-B	chrfpp	spm256k	37.8123	37.7683	-0.0440
en-zh	Llama3-70B	bleu	none	31.6946	7.4449	-24.2497
en-zh	Llama3-70B	chrfpp	none	30.0472	11.2573	-18.7899
en-zh	Llama3-70B	bleu	flores200	31.6946	31.6929	-0.0017
en-zh	Llama3-70B	chrfpp	flores200	30.0472	27.2290	-2.8182
en-zh	Llama3-70B	bleu	spm32k	31.6946	31.6820	-0.0126
en-zh	Llama3-70B	chrfpp	spm32k	30.0472	30.0313	-0.0159
en-zh	Llama3-70B	bleu	spm64k	31.6946	31.6955	0.0009
en-zh	Llama3-70B	chrfpp	spm64k	30.0472	30.0370	-0.0102
en-zh	Llama3-70B	bleu	spm128k	31.6946	31.6965	0.0019
en-zh	Llama3-70B	chrfpp	spm128k	30.0472	30.0325	-0.0147
en-zh	Llama3-70B	bleu	spm256k	31.6946	31.6944	-0.0001
en-zh	Llama3-70B	chrfpp	spm256k	30.0472	30.0303	-0.0169
en-zh	ONLINE-A	bleu	none	39.9014	8.3387	-31.5627
en-zh	ONLINE-A	chrfpp	none	37.7516	13.2103	-24.5413
en-zh	ONLINE-A	bleu	flores200	39.9014	39.8718	-0.0297
en-zh	ONLINE-A	chrfpp	flores200	37.7516	34.0577	-3.6939
en-zh	ONLINE-A	bleu	spm32k	39.9014	39.8877	-0.0137
en-zh	ONLINE-A	chrfpp	spm32k	37.7516	37.7269	-0.0247
en-zh	ONLINE-A	bleu	spm64k	39.9014	39.9007	-0.0007
en-zh	ONLINE-A	chrfpp	spm64k	37.7516	37.7456	-0.0060
en-zh	ONLINE-A	bleu	spm128k	39.9014	39.9007	-0.0007
en-zh	ONLINE-A	chrfpp	spm128k	37.7516	37.7401	-0.0115
en-zh	ONLINE-A	bleu	spm256k	39.9014	39.9009	-0.0006
en-zh	ONLINE-A	chrfpp	spm256k	37.7516	37.7428	-0.0088
en-zh	ONLINE-G	bleu	none	31.5088	4.3094	-27.1994
en-zh	ONLINE-G	chrfpp	none	28.3782	5.2596	-23.1186
en-zh	ONLINE-G	bleu	flores200	31.5088	31.4918	-0.0169
en-zh	ONLINE-G	chrfpp	flores200	28.3782	25.4646	-2.9136
en-zh	ONLINE-G	bleu	spm32k	31.5088	31.4968	-0.0120
en-zh	ONLINE-G	chrfpp	spm32k	28.3782	28.3724	-0.0058
en-zh	ONLINE-G	bleu	spm64k	31.5088	31.5091	0.0003
en-zh	ONLINE-G	chrfpp	spm64k	28.3782	28.3772	-0.0010
en-zh	ONLINE-G	bleu	spm128k	31.5088	31.5021	-0.0066
en-zh	ONLINE-G	chrfpp	spm128k	28.3782	28.3722	-0.0060
en-zh	ONLINE-G	bleu	spm256k	31.5088	31.5008	-0.0080
en-zh	ONLINE-G	chrfpp	spm256k	28.3782	28.3647	-0.0135
en-zh	Gemini-1.5-Pro	bleu	none	36.3121	5.5941	-30.7180
en-zh	Gemini-1.5-Pro	chrfpp	none	32.4735	7.2488	-25.2247
en-zh	Gemini-1.5-Pro	bleu	flores200	36.3121	36.2785	-0.0336
en-zh	Gemini-1.5-Pro	chrfpp	flores200	32.4735	28.7418	-3.7317
en-zh	Gemini-1.5-Pro	bleu	spm32k	36.3121	36.2803	-0.0318
en-zh	Gemini-1.5-Pro	chrfpp	spm32k	32.4735	32.4552	-0.0184
en-zh	Gemini-1.5-Pro	bleu	spm64k	36.3121	36.2836	-0.0285
en-zh	Gemini-1.5-Pro	chrfpp	spm64k	32.4735	32.4524	-0.0211
en-zh	Gemini-1.5-Pro	bleu	spm128k	36.3121	36.2756	-0.0365
en-zh	Gemini-1.5-Pro	chrfpp	spm128k	32.4735	32.4484	-0.0251
en-zh	Gemini-1.5-Pro	bleu	spm256k	36.3121	36.2786	-0.0335
en-zh	Gemini-1.5-Pro	chrfpp	spm256k	32.4735	32.4394	-0.0341
en-zh	Mistral-Large	bleu	none	29.5989	7.2912	-22.3078
en-zh	Mistral-Large	chrfpp	none	28.0695	10.4442	-17.6253
en-zh	Mistral-Large	bleu	flores200	29.5989	29.5740	-0.0250
en-zh	Mistral-Large	chrfpp	flores200	28.0695	25.4187	-2.6509
en-zh	Mistral-Large	bleu	spm32k	29.5989	29.5711	-0.0278
en-zh	Mistral-Large	chrfpp	spm32k	28.0695	28.0412	-0.0283
en-zh	Mistral-Large	bleu	spm64k	29.5989	29.5846	-0.0144
en-zh	Mistral-Large	chrfpp	spm64k	28.0695	28.0320	-0.0376
en-zh	Mistral-Large	bleu	spm128k	29.5989	29.5844	-0.0145
