langpair	system	metric	segmenter	manual	realigned	delta
en-cs	IOL-Research	chrfpp	spm64k	53.1463	53.0268	-0.1195
en-cs	IOL-Research	bleu	spm128k	35.7934	35.7182	-0.0753
en-cs	IOL-Research	chrfpp	spm128k	53.1463	53.0133	-0.1330
en-cs	IOL-Research	bleu	spm256k	35.7934	35.7375	-0.0559
en-cs	IOL-Research	chrfpp	spm256k	53.1463	53.0301	-0.1162
en-cs	NVIDIA-NeMo	bleu	none	30.2285	29.7786	-0.4498
en-cs	NVIDIA-NeMo	chrfpp	none	49.5384	48.9044	-0.6340
en-cs	NVIDIA-NeMo	bleu	flores200	30.2285	30.1462	-0.0822
en-cs	NVIDIA-NeMo	chrfpp	flores200	49.5384	49.3874	-0.1510
en-cs	NVIDIA-NeMo	bleu	spm32k	30.2285	30.1178	-0.1107
en-cs	NVIDIA-NeMo	chrfpp	spm32k	49.5384	49.3742	-0.1641
en-cs	NVIDIA-NeMo	bleu	spm64k	30.2285	30.1128	-0.1157
en-cs	NVIDIA-NeMo	chrfpp	spm64k	49.5384	49.3763	-0.1620
en-cs	NVIDIA-NeMo	bleu	spm128k	30.2285	30.1441	-0.0843
en-cs	NVIDIA-NeMo	chrfpp	spm128k	49.5384	49.3940	-0.1444
en-cs	NVIDIA-NeMo	bleu	spm256k	30.2285	30.1605	-0.0680
en-cs	NVIDIA-NeMo	chrfpp	spm256k	49.5384	49.3997	-0.1387
en-cs	SCIR-MT	bleu	none	34.8372	34.5773	-0.2599
en-cs	SCIR-MT	chrfpp	none	52.1601	51.8342	-0.3259
en-cs	SCIR-MT	bleu	flores200	34.8372	34.7781	-0.0590
en-cs	SCIR-MT	chrfpp	flores200	52.1601	52.0647	-0.0954
en-cs	SCIR-MT	bleu	spm32k	34.8372	34.7731	-0.0641
en-cs	SCIR-MT	chrfpp	spm32k	52.1601	52.0515	-0.1086
en-cs	SCIR-MT	bleu	spm64k	34.8372	34.7683	-0.0689
en-cs	SCIR-MT	chrfpp	spm64k	52.1601	52.0506	-0.1094
en-cs	SCIR-MT	bleu	spm128k	34.8372	34.7740	-0.0632
en-cs	SCIR-MT	chrfpp	spm128k	52.1601	52.0442	-0.1158
en-cs	SCIR-MT	bleu	spm256k	34.8372	34.7793	-0.0578
en-cs	SCIR-MT	chrfpp	spm256k	52.1601	52.0535	-0.1065
en-cs	TranssionMT	bleu	none	39.5804	39.4189	-0.1615
en-cs	TranssionMT	chrfpp	none	56.0802	55.8388	-0.2414
en-cs	TranssionMT	bleu	flores200	39.5804	39.4951	-0.0854
en-cs	TranssionMT	chrfpp	flores200	56.0802	55.9740	-0.1062
en-cs	TranssionMT	bleu	spm32k	39.5804	39.5067	-0.0737
en-cs	TranssionMT	chrfpp	spm32k	56.0802	55.9742	-0.1060
en-cs	TranssionMT	bleu	spm64k	39.5804	39.4711	-0.1093
en-cs	TranssionMT	chrfpp	spm64k	56.0802	55.9611	-0.1191
en-cs	TranssionMT	bleu	spm128k	39.5804	39.5034	-0.0770
en-cs	TranssionMT	chrfpp	spm128k	56.0802	55.9609	-0.1193
en-cs	TranssionMT	bleu	spm256k	39.5804	39.5070	-0.0734
en-cs	TranssionMT	chrfpp	spm256k	56.0802	55.9774	-0.1028
en-cs	TSU-HITs	bleu	none	10.7476	10.3061	-0.4415
en-cs	TSU-HITs	chrfpp	none	29.1494	28.1653	-0.9841
en-cs	TSU-HITs	bleu	flores200	10.7476	10.4427	-0.3049
en-cs	TSU-HITs	chrfpp	flores200	29.1494	28.4873	-0.6621
en-cs	TSU-HITs	bleu	spm32k	10.7476	10.5371	-0.2105
en-cs	TSU-HITs	chrfpp	spm32k	29.1494	28.6042	-0.5452
en-cs	TSU-HITs	bleu	spm64k	10.7476	10.5131	-0.2345
en-cs	TSU-HITs	chrfpp	spm64k	29.1494	28.5768	-0.5726
en-cs	TSU-HITs	bleu	spm128k	10.7476	10.5048	-0.2427
en-cs	TSU-HITs	chrfpp	spm128k	29.1494	28.5664	-0.5830
en-cs	TSU-HITs	bleu	spm256k	10.7476	10.5075	-0.2401
en-cs	TSU-HITs	chrfpp	spm256k	29.1494	28.5616	-0.5878
en-cs	Unbabel-Tower70B	bleu	none	32.6240	32.4521	-0.1719
en-cs	Unbabel-Tower70B	chrfpp	none	49.8230	49.5662	-0.2568
en-cs	Unbabel-Tower70B	bleu	flores200	32.6240	32.5635	-0.0605
en-cs	Unbabel-Tower70B	chrfpp	flores200	49.8230	49.7707	-0.0524
en-cs	Unbabel-Tower70B	bleu	spm32k	32.6240	32.5483	-0.0758
en-cs	Unbabel-Tower70B	chrfpp	spm32k	49.8230	49.7042	-0.1188
en-cs	Unbabel-Tower70B	bleu	spm64k	32.6240	32.5474	-0.0767
en-cs	Unbabel-Tower70B	chrfpp	spm64k	49.8230	49.7199	-0.1032
en-cs	Unbabel-Tower70B	bleu	spm128k	32.6240	32.5473	-0.0767
en-cs	Unbabel-Tower70B	chrfpp	spm128k	49.8230	49.7109	-0.1121
en-cs	Unbabel-Tower70B	bleu	spm256k	32.6240	32.5642	-0.0598
en-cs	Unbabel-Tower70B	chrfpp	spm256k	49.8230	49.7361	-0.0869
en-cs	Aya23	bleu	none	33.4829	33.3168	-0.1662
en-cs	Aya23	chrfpp	none	51.2102	50.9422	-0.2680
en-cs	Aya23	bleu	flores200	33.4829	33.4206	-0.0624
en-cs	Aya23	chrfpp	flores200	51.2102	51.1251	-0.0851
en-cs	Aya23	bleu	spm32k	33.4829	33.3881	-0.0948
en-cs	Aya23	chrfpp	spm32k	51.2102	51.0880	-0.1222
en-cs	Aya23	bleu	spm64k	33.4829	33.4050	-0.0779
en-cs	Aya23	chrfpp	spm64k	51.2102	51.0896	-0.1206
en-cs	Aya23	bleu	spm128k	33.4829	33.4095	-0.0734
en-cs	Aya23	chrfpp	spm128k	51.2102	51.0995	-0.1107
en-cs	Aya23	bleu	spm256k	33.4829	33.4086	-0.0743
