langpair	system	metric	segmenter	manual	realigned	delta
cs-uk	Aya23	chrfpp	spm64k	54.6135	54.4576	-0.1559
cs-uk	Aya23	bleu	spm128k	37.0538	36.9982	-0.0555
cs-uk	Aya23	chrfpp	spm128k	54.6135	54.4864	-0.1271
cs-uk	Aya23	bleu	spm256k	37.0538	36.9515	-0.1023
cs-uk	Aya23	chrfpp	spm256k	54.6135	54.4465	-0.1670
cs-uk	CommandR-plus	bleu	none	39.6970	39.5127	-0.1843
cs-uk	CommandR-plus	chrfpp	none	56.6198	56.2996	-0.3202
cs-uk	CommandR-plus	bleu	flores200	39.6970	39.6154	-0.0816
cs-uk	CommandR-plus	chrfpp	flores200	56.6198	56.4625	-0.1574
cs-uk	CommandR-plus	bleu	spm32k	39.6970	39.5979	-0.0991
cs-uk	CommandR-plus	chrfpp	spm32k	56.6198	56.4889	-0.1310
cs-uk	CommandR-plus	bleu	spm64k	39.6970	39.6276	-0.0695
cs-uk	CommandR-plus	chrfpp	spm64k	56.6198	56.5067	-0.1132
cs-uk	CommandR-plus	bleu	spm128k	39.6970	39.6203	-0.0767
cs-uk	CommandR-plus	chrfpp	spm128k	56.6198	56.4807	-0.1392
cs-uk	CommandR-plus	bleu	spm256k	39.6970	39.6051	-0.0920
cs-uk	CommandR-plus	chrfpp	spm256k	56.6198	56.4542	-0.1657
cs-uk	ONLINE-W	bleu	none	41.0285	40.8173	-0.2112
cs-uk	ONLINE-W	chrfpp	none	56.7993	56.4496	-0.3497
cs-uk	ONLINE-W	bleu	flores200	41.0285	40.9384	-0.0901
cs-uk	ONLINE-W	chrfpp	flores200	56.7993	56.5956	-0.2037
cs-uk	ONLINE-W	bleu	spm32k	41.0285	40.9692	-0.0593
cs-uk	ONLINE-W	chrfpp	spm32k	56.7993	56.6629	-0.1364
cs-uk	ONLINE-W	bleu	spm64k	41.0285	40.9327	-0.0958
cs-uk	ONLINE-W	chrfpp	spm64k	56.7993	56.6041	-0.1952
cs-uk	ONLINE-W	bleu	spm128k	41.0285	40.9392	-0.0893
cs-uk	ONLINE-W	chrfpp	spm128k	56.7993	56.6144	-0.1849
cs-uk	ONLINE-W	bleu	spm256k	41.0285	40.9375	-0.0910
cs-uk	ONLINE-W	chrfpp	spm256k	56.7993	56.6318	-0.1675
cs-uk	ONLINE-B	bleu	none	40.7454	40.5201	-0.2253
cs-uk	ONLINE-B	chrfpp	none	56.7200	56.3891	-0.3309
cs-uk	ONLINE-B	bleu	flores200	40.7454	40.6515	-0.0938
cs-uk	ONLINE-B	chrfpp	flores200	56.7200	56.5129	-0.2071
cs-uk	ONLINE-B	bleu	spm32k	40.7454	40.6535	-0.0919
cs-uk	ONLINE-B	chrfpp	spm32k	56.7200	56.5473	-0.1726
cs-uk	ONLINE-B	bleu	spm64k	40.7454	40.6645	-0.0809
cs-uk	ONLINE-B	chrfpp	spm64k	56.7200	56.5729	-0.1471
cs-uk	ONLINE-B	bleu	spm128k	40.7454	40.6433	-0.1021
cs-uk	ONLINE-B	chrfpp	spm128k	56.7200	56.5359	-0.1841
cs-uk	ONLINE-B	bleu	spm256k	40.7454	40.6442	-0.1011
cs-uk	ONLINE-B	chrfpp	spm256k	56.7200	56.5351	-0.1848
cs-uk	Llama3-70B	bleu	none	36.2232	36.0873	-0.1359
cs-uk	Llama3-70B	chrfpp	none	53.8377	53.5562	-0.2814
cs-uk	Llama3-70B	bleu	flores200	36.2232	36.1818	-0.0414
cs-uk	Llama3-70B	chrfpp	flores200	53.8377	53.7205	-0.1172
cs-uk	Llama3-70B	bleu	spm32k	36.2232	36.1733	-0.0498
cs-uk	Llama3-70B	chrfpp	spm32k	53.8377	53.7280	-0.1097
cs-uk	Llama3-70B	bleu	spm64k	36.2232	36.1881	-0.0350
cs-uk	Llama3-70B	chrfpp	spm64k	53.8377	53.7262	-0.1115
cs-uk	Llama3-70B	bleu	spm128k	36.2232	36.1670	-0.0562
cs-uk	Llama3-70B	chrfpp	spm128k	53.8377	53.7229	-0.1148
cs-uk	Llama3-70B	bleu	spm256k	36.2232	36.1418	-0.0813
cs-uk	Llama3-70B	chrfpp	spm256k	53.8377	53.6822	-0.1554
cs-uk	ONLINE-A	bleu	none	38.3380	38.1433	-0.1947
cs-uk	ONLINE-A	chrfpp	none	54.8920	54.5438	-0.3482
cs-uk	ONLINE-A	bleu	flores200	38.3380	38.2502	-0.0878
cs-uk	ONLINE-A	chrfpp	flores200	54.8920	54.7032	-0.1888
cs-uk	ONLINE-A	bleu	spm32k	38.3380	38.2224	-0.1156
cs-uk	ONLINE-A	chrfpp	spm32k	54.8920	54.7243	-0.1677
cs-uk	ONLINE-A	bleu	spm64k	38.3380	38.2289	-0.1090
cs-uk	ONLINE-A	chrfpp	spm64k	54.8920	54.7114	-0.1806
cs-uk	ONLINE-A	bleu	spm128k	38.3380	38.2088	-0.1292
cs-uk	ONLINE-A	chrfpp	spm128k	54.8920	54.6502	-0.2418
cs-uk	ONLINE-A	bleu	spm256k	38.3380	38.2111	-0.1269
cs-uk	ONLINE-A	chrfpp	spm256k	54.8920	54.6605	-0.2315
cs-uk	ONLINE-G	bleu	none	34.5458	34.3142	-0.2316
cs-uk	ONLINE-G	chrfpp	none	52.2805	51.8352	-0.4453
cs-uk	ONLINE-G	bleu	flores200	34.5458	34.4742	-0.0716
cs-uk	ONLINE-G	chrfpp	flores200	52.2805	52.0881	-0.1924
cs-uk	ONLINE-G	bleu	spm32k	34.5458	34.4476	-0.0982
cs-uk	ONLINE-G	chrfpp	spm32k	52.2805	52.1293	-0.1512
cs-uk	ONLINE-G	bleu	spm64k	34.5458	34.4716	-0.0742
cs-uk	ONLINE-G	chrfpp	spm64k	52.2805	52.1441	-0.1364
cs-uk	ONLINE-G	bleu	spm128k	34.5458	34.4304	-0.1154
cs-uk	ONLINE-G	chrfpp	spm128k	52.2805	52.0475	-0.2330
cs-uk	ONLINE-G	bleu	spm256k	34.5458	34.4504	-0.0954
cs-uk	ONLINE-G	chrfpp	spm256k	52.2805	52.0889	-0.1916
cs-uk	Gemini-1.5-Pro	bleu	none	37.4922	37.3763	-0.1159
cs-uk	Gemini-1.5-Pro	chrfpp	none	57.4871	57.1534	-0.3337
cs-uk	Gemini-1.5-Pro	bleu	flores200	37.4922	37.4450	-0.0471
cs-uk	Gemini-1.5-Pro	chrfpp	flores200	57.4871	57.2746	-0.2125
cs-uk	Gemini-1.5-Pro	bleu	spm32k	37.4922	37.4237	-0.0684
cs-uk	Gemini-1.5-Pro	chrfpp	spm32k	57.4871	57.2710	-0.2161
cs-uk	Gemini-1.5-Pro	bleu	spm64k	37.4922	37.4297	-0.0625
cs-uk	Gemini-1.5-Pro	chrfpp	spm64k	57.4871	57.2784	-0.2087
cs-uk	Gemini-1.5-Pro	bleu	spm128k	37.4922	37.4089	-0.0833
