langpair	system	metric	segmenter	manual	realigned	delta
en-ru	Aya23	chrfpp	spm128k	47.5669	47.4365	-0.1304
en-ru	Aya23	bleu	spm256k	28.4264	28.3737	-0.0527
en-ru	Aya23	chrfpp	spm256k	47.5669	47.4706	-0.0962
en-ru	CommandR-plus	bleu	none	29.4762	29.2650	-0.2112
en-ru	CommandR-plus	chrfpp	none	48.6141	48.2939	-0.3202
en-ru	CommandR-plus	bleu	flores200	29.4762	29.4286	-0.0476
en-ru	CommandR-plus	chrfpp	flores200	48.6141	48.5566	-0.0575
en-ru	CommandR-plus	bleu	spm32k	29.4762	29.4035	-0.0727
en-ru	CommandR-plus	chrfpp	spm32k	48.6141	48.5287	-0.0854
en-ru	CommandR-plus	bleu	spm64k	29.4762	29.4210	-0.0552
en-ru	CommandR-plus	chrfpp	spm64k	48.6141	48.5212	-0.0929
en-ru	CommandR-plus	bleu	spm128k	29.4762	29.4198	-0.0564
en-ru	CommandR-plus	chrfpp	spm128k	48.6141	48.5186	-0.0955
en-ru	CommandR-plus	bleu	spm256k	29.4762	29.4093	-0.0670
en-ru	CommandR-plus	chrfpp	spm256k	48.6141	48.4945	-0.1196
en-ru	ONLINE-W	bleu	none	31.2942	31.1032	-0.1910
en-ru	ONLINE-W	chrfpp	none	49.5499	49.2435	-0.3064
en-ru	ONLINE-W	bleu	flores200	31.2942	31.2090	-0.0852
en-ru	ONLINE-W	chrfpp	flores200	49.5499	49.4356	-0.1143
en-ru	ONLINE-W	bleu	spm32k	31.2942	31.1986	-0.0955
en-ru	ONLINE-W	chrfpp	spm32k	49.5499	49.4337	-0.1163
en-ru	ONLINE-W	bleu	spm64k	31.2942	31.2269	-0.0672
en-ru	ONLINE-W	chrfpp	spm64k	49.5499	49.4617	-0.0883
en-ru	ONLINE-W	bleu	spm128k	31.2942	31.2491	-0.0450
en-ru	ONLINE-W	chrfpp	spm128k	49.5499	49.4708	-0.0792
en-ru	ONLINE-W	bleu	spm256k	31.2942	31.2313	-0.0628
en-ru	ONLINE-W	chrfpp	spm256k	49.5499	49.4376	-0.1123
en-ru	ONLINE-B	bleu	none	31.8896	31.5588	-0.3309
en-ru	ONLINE-B	chrfpp	none	50.0772	49.6627	-0.4145
en-ru	ONLINE-B	bleu	flores200	31.8896	31.8441	-0.0455
en-ru	ONLINE-B	chrfpp	flores200	50.0772	50.0279	-0.0493
en-ru	ONLINE-B	bleu	spm32k	31.8896	31.8386	-0.0511
en-ru	ONLINE-B	chrfpp	spm32k	50.0772	50.0144	-0.0628
en-ru	ONLINE-B	bleu	spm64k	31.8896	31.8506	-0.0391
en-ru	ONLINE-B	chrfpp	spm64k	50.0772	50.0023	-0.0749
en-ru	ONLINE-B	bleu	spm128k	31.8896	31.8304	-0.0592
en-ru	ONLINE-B	chrfpp	spm128k	50.0772	49.9644	-0.1128
en-ru	ONLINE-B	bleu	spm256k	31.8896	31.8304	-0.0592
en-ru	ONLINE-B	chrfpp	spm256k	50.0772	49.9898	-0.0874
en-ru	Llama3-70B	bleu	none	28.5304	28.1610	-0.3694
en-ru	Llama3-70B	chrfpp	none	47.6294	47.1651	-0.4643
en-ru	Llama3-70B	bleu	flores200	28.5304	28.4697	-0.0607
en-ru	Llama3-70B	chrfpp	flores200	47.6294	47.5216	-0.1078
en-ru	Llama3-70B	bleu	spm32k	28.5304	28.4401	-0.0903
en-ru	Llama3-70B	chrfpp	spm32k	47.6294	47.5022	-0.1272
en-ru	Llama3-70B	bleu	spm64k	28.5304	28.4647	-0.0657
en-ru	Llama3-70B	chrfpp	spm64k	47.6294	47.5330	-0.0963
en-ru	Llama3-70B	bleu	spm128k	28.5304	28.4727	-0.0577
en-ru	Llama3-70B	chrfpp	spm128k	47.6294	47.5347	-0.0946
en-ru	Llama3-70B	bleu	spm256k	28.5304	28.4675	-0.0629
en-ru	Llama3-70B	chrfpp	spm256k	47.6294	47.5257	-0.1037
en-ru	ONLINE-A	bleu	none	31.0703	30.8028	-0.2675
en-ru	ONLINE-A	chrfpp	none	49.7878	49.3950	-0.3929
en-ru	ONLINE-A	bleu	flores200	31.0703	31.0109	-0.0594
en-ru	ONLINE-A	chrfpp	flores200	49.7878	49.6899	-0.0979
en-ru	ONLINE-A	bleu	spm32k	31.0703	30.9941	-0.0762
en-ru	ONLINE-A	chrfpp	spm32k	49.7878	49.6830	-0.1049
en-ru	ONLINE-A	bleu	spm64k	31.0703	31.0121	-0.0582
en-ru	ONLINE-A	chrfpp	spm64k	49.7878	49.6817	-0.1062
en-ru	ONLINE-A	bleu	spm128k	31.0703	30.9968	-0.0735
en-ru	ONLINE-A	chrfpp	spm128k	49.7878	49.6652	-0.1227
en-ru	ONLINE-A	bleu	spm256k	31.0703	30.9905	-0.0798
en-ru	ONLINE-A	chrfpp	spm256k	49.7878	49.6531	-0.1348
en-ru	ONLINE-G	bleu	none	30.6974	30.3803	-0.3170
en-ru	ONLINE-G	chrfpp	none	50.0388	49.6040	-0.4348
en-ru	ONLINE-G	bleu	flores200	30.6974	30.6202	-0.0772
en-ru	ONLINE-G	chrfpp	flores200	50.0388	49.9278	-0.1110
en-ru	ONLINE-G	bleu	spm32k	30.6974	30.6235	-0.0739
en-ru	ONLINE-G	chrfpp	spm32k	50.0388	49.9432	-0.0956
en-ru	ONLINE-G	bleu	spm64k	30.6974	30.6188	-0.0786
en-ru	ONLINE-G	chrfpp	spm64k	50.0388	49.9201	-0.1187
en-ru	ONLINE-G	bleu	spm128k	30.6974	30.6192	-0.0781
en-ru	ONLINE-G	chrfpp	spm128k	50.0388	49.9080	-0.1308
en-ru	ONLINE-G	bleu	spm256k	30.6974	30.6377	-0.0596
en-ru	ONLINE-G	chrfpp	spm256k	50.0388	49.9301	-0.1087
en-ru	Gemini-1.5-Pro	bleu	none	30.6459	30.2994	-0.3465
en-ru	Gemini-1.5-Pro	chrfpp	none	49.9850	49.5363	-0.4487
en-ru	Gemini-1.5-Pro	bleu	flores200	30.6459	30.5593	-0.0866
en-ru	Gemini-1.5-Pro	chrfpp	flores200	49.9850	49.8251	-0.1599
en-ru	Gemini-1.5-Pro	bleu	spm32k	30.6459	30.5559	-0.0900
en-ru	Gemini-1.5-Pro	chrfpp	spm32k	49.9850	49.8443	-0.1407
en-ru	Gemini-1.5-Pro	bleu	spm64k	30.6459	30.5492	-0.0967
en-ru	Gemini-1.5-Pro	chrfpp	spm64k	49.9850	49.8157	-0.1693
en-ru	Gemini-1.5-Pro	bleu	spm128k	30.6459	30.5500	-0.0959
en-ru	Gemini-1.5-Pro	chrfpp	spm128k	49.9850	49.8187	-0.1663
en-ru	Gemini-1.5-Pro	bleu	spm256k	30.6459	30.5515	-0.0944
en-ru	Gemini-1.5-Pro	chrfpp	spm256k	49.9850	49.8031	-0.1819
en-ru	Mistral-Large	bleu	none	28.8151	28.6337	-0.1814
en-ru	Mistral-Large	chrfpp	none	48.2123	47.8940	-0.3184
en-ru	Mistral-Large	bleu	flores200	28.8151	28.7424	-0.0727
en-ru	Mistral-Large	chrfpp	flores200	48.2123	48.0880	-0.1244
en-ru	Mistral-Large	bleu	spm32k	28.8151	28.7181	-0.0971
en-ru	Mistral-Large	chrfpp	spm32k	48.2123	48.0763	-0.1360
en-ru	Mistral-Large	bleu	spm64k	28.8151	28.7678	-0.0473
en-ru	Mistral-Large	chrfpp	spm64k	48.2123	48.1139	-0.0984
en-ru	Mistral-Large	bleu	spm128k	28.8151	28.7574	-0.0577
en-ru	Mistral-Large	chrfpp	spm128k	48.2123	48.1205	-0.0919
en-ru	Mistral-Large	bleu	spm256k	28.8151	28.7548	-0.0603
en-ru	Mistral-Large	chrfpp	spm256k	48.2123	48.1172	-0.0952
en-ru	Claude-3.5	bleu	none	32.6619	32.3795	-0.2824
en-ru	Claude-3.5	chrfpp	none	50.7822	50.3910	-0.3912
en-ru	Claude-3.5	bleu	flores200	32.6619	32.5954	-0.0666
en-ru	Claude-3.5	chrfpp	flores200	50.7822	50.6315	-0.1507
en-ru	Claude-3.5	bleu	spm32k	32.6619	32.5777	-0.0842
en-ru	Claude-3.5	chrfpp	spm32k	50.7822	50.6529	-0.1293
en-ru	Claude-3.5	bleu	spm64k	32.6619	32.5800	-0.0820
en-ru	Claude-3.5	chrfpp	spm64k	50.7822	50.6293	-0.1529
en-ru	Claude-3.5	bleu	spm128k	32.6619	32.5807	-0.0812
en-ru	Claude-3.5	chrfpp	spm128k	50.7822	50.6457	-0.1366
en-ru	Claude-3.5	bleu	spm256k	32.6619	32.5848	-0.0771
en-ru	Claude-3.5	chrfpp	spm256k	50.7822	50.6522	-0.1300
en-ru	GPT-4	bleu	none	30.7675	30.4932	-0.2743
en-ru	GPT-4	chrfpp	none	49.3100	48.9291	-0.3810
en-ru	GPT-4	bleu	flores200	30.7675	30.6946	-0.0729
en-ru	GPT-4	chrfpp	flores200	49.3100	49.1840	-0.1260
en-ru	GPT-4	bleu	spm32k	30.7675	30.6942	-0.0734
en-ru	GPT-4	chrfpp	spm32k	49.3100	49.2162	-0.0939
en-ru	GPT-4	bleu	spm64k	30.7675	30.6526	-0.1149
en-ru	GPT-4	chrfpp	spm64k	49.3100	49.1584	-0.1516
en-ru	GPT-4	bleu	spm128k	30.7675	30.6867	-0.0808
en-ru	GPT-4	chrfpp	spm128k	49.3100	49.2042	-0.1058
en-ru	GPT-4	bleu	spm256k	30.7675	30.7176	-0.0499
en-ru	GPT-4	chrfpp	spm256k	49.3100	49.2187	-0.0914
en-ru	Phi-3-Medium	bleu	none	26.0944	25.7653	-0.3292
en-ru	Phi-3-Medium	chrfpp	none	45.7025	45.2247	-0.4778
en-ru	Phi-3-Medium	bleu	flores200	26.0944	25.9793	-0.1151
en-ru	Phi-3-Medium	chrfpp	flores200	45.7025	45.5236	-0.1789
en-ru	Phi-3-Medium	bleu	spm32k	26.0944	25.9685	-0.1260
en-ru	Phi-3-Medium	chrfpp	spm32k	45.7025	45.5417	-0.1607
en-ru	Phi-3-Medium	bleu	spm64k	26.0944	25.9962	-0.0982
en-ru	Phi-3-Medium	chrfpp	spm64k	45.7025	45.5553	-0.1472
en-ru	Phi-3-Medium	bleu	spm128k	26.0944	25.9820	-0.1125
en-ru	Phi-3-Medium	chrfpp	spm128k	45.7025	45.5498	-0.1526
en-ru	Phi-3-Medium	bleu	spm256k	26.0944	25.9868	-0.1076
en-ru	Phi-3-Medium	chrfpp	spm256k	45.7025	45.5785	-0.1239
