langpair	system	metric	segmenter	manual	realigned	delta
en-uk	CommandR-plus	chrfpp	spm256k	52.4844	52.3624	-0.1220
en-uk	ONLINE-W	bleu	none	47.1537	47.0443	-0.1094
en-uk	ONLINE-W	chrfpp	none	61.9830	61.8305	-0.1525
en-uk	ONLINE-W	bleu	flores200	47.1537	47.1015	-0.0522
en-uk	ONLINE-W	chrfpp	flores200	61.9830	61.9392	-0.0438
en-uk	ONLINE-W	bleu	spm32k	47.1537	47.1257	-0.0279
en-uk	ONLINE-W	chrfpp	spm32k	61.9830	61.9354	-0.0476
en-uk	ONLINE-W	bleu	spm64k	47.1537	47.1210	-0.0327
en-uk	ONLINE-W	chrfpp	spm64k	61.9830	61.9413	-0.0417
en-uk	ONLINE-W	bleu	spm128k	47.1537	47.1336	-0.0201
en-uk	ONLINE-W	chrfpp	spm128k	61.9830	61.9436	-0.0394
en-uk	ONLINE-W	bleu	spm256k	47.1537	47.1294	-0.0243
en-uk	ONLINE-W	chrfpp	spm256k	61.9830	61.9345	-0.0485
en-uk	ONLINE-B	bleu	none	39.7668	39.5996	-0.1672
en-uk	ONLINE-B	chrfpp	none	55.8594	55.6702	-0.1892
en-uk	ONLINE-B	bleu	flores200	39.7668	39.7363	-0.0305
en-uk	ONLINE-B	chrfpp	flores200	55.8594	55.7929	-0.0665
en-uk	ONLINE-B	bleu	spm32k	39.7668	39.7336	-0.0332
en-uk	ONLINE-B	chrfpp	spm32k	55.8594	55.8083	-0.0512
en-uk	ONLINE-B	bleu	spm64k	39.7668	39.7413	-0.0255
en-uk	ONLINE-B	chrfpp	spm64k	55.8594	55.8134	-0.0460
en-uk	ONLINE-B	bleu	spm128k	39.7668	39.7253	-0.0415
en-uk	ONLINE-B	chrfpp	spm128k	55.8594	55.7976	-0.0618
en-uk	ONLINE-B	bleu	spm256k	39.7668	39.7318	-0.0350
en-uk	ONLINE-B	chrfpp	spm256k	55.8594	55.8010	-0.0584
en-uk	Llama3-70B	bleu	none	31.5360	31.2636	-0.2724
en-uk	Llama3-70B	chrfpp	none	50.0090	49.7029	-0.3060
en-uk	Llama3-70B	bleu	flores200	31.5360	31.5114	-0.0246
en-uk	Llama3-70B	chrfpp	flores200	50.0090	49.9357	-0.0732
en-uk	Llama3-70B	bleu	spm32k	31.5360	31.5099	-0.0261
en-uk	Llama3-70B	chrfpp	spm32k	50.0090	49.9592	-0.0498
en-uk	Llama3-70B	bleu	spm64k	31.5360	31.5167	-0.0193
en-uk	Llama3-70B	chrfpp	spm64k	50.0090	49.9556	-0.0534
en-uk	Llama3-70B	bleu	spm128k	31.5360	31.5171	-0.0189
en-uk	Llama3-70B	chrfpp	spm128k	50.0090	49.9679	-0.0410
en-uk	Llama3-70B	bleu	spm256k	31.5360	31.5156	-0.0204
en-uk	Llama3-70B	chrfpp	spm256k	50.0090	49.9584	-0.0506
en-uk	ONLINE-A	bleu	none	39.8443	39.6881	-0.1562
en-uk	ONLINE-A	chrfpp	none	56.2113	56.0131	-0.1982
en-uk	ONLINE-A	bleu	flores200	39.8443	39.8190	-0.0253
en-uk	ONLINE-A	chrfpp	flores200	56.2113	56.1602	-0.0511
en-uk	ONLINE-A	bleu	spm32k	39.8443	39.8146	-0.0297
en-uk	ONLINE-A	chrfpp	spm32k	56.2113	56.1654	-0.0459
en-uk	ONLINE-A	bleu	spm64k	39.8443	39.8192	-0.0251
en-uk	ONLINE-A	chrfpp	spm64k	56.2113	56.1674	-0.0439
en-uk	ONLINE-A	bleu	spm128k	39.8443	39.7954	-0.0489
en-uk	ONLINE-A	chrfpp	spm128k	56.2113	56.1454	-0.0660
en-uk	ONLINE-A	bleu	spm256k	39.8443	39.8007	-0.0437
en-uk	ONLINE-A	chrfpp	spm256k	56.2113	56.1377	-0.0736
en-uk	ONLINE-G	bleu	none	37.2738	37.1067	-0.1671
en-uk	ONLINE-G	chrfpp	none	55.2094	54.9598	-0.2496
en-uk	ONLINE-G	bleu	flores200	37.2738	37.2159	-0.0579
en-uk	ONLINE-G	chrfpp	flores200	55.2094	55.1302	-0.0791
en-uk	ONLINE-G	bleu	spm32k	37.2738	37.2253	-0.0485
en-uk	ONLINE-G	chrfpp	spm32k	55.2094	55.1355	-0.0739
en-uk	ONLINE-G	bleu	spm64k	37.2738	37.2204	-0.0534
en-uk	ONLINE-G	chrfpp	spm64k	55.2094	55.1359	-0.0735
en-uk	ONLINE-G	bleu	spm128k	37.2738	37.2236	-0.0502
en-uk	ONLINE-G	chrfpp	spm128k	55.2094	55.1396	-0.0698
en-uk	ONLINE-G	bleu	spm256k	37.2738	37.2210	-0.0527
en-uk	ONLINE-G	chrfpp	spm256k	55.2094	55.1195	-0.0899
en-uk	Gemini-1.5-Pro	bleu	none	36.6218	36.4236	-0.1981
en-uk	Gemini-1.5-Pro	chrfpp	none	54.2703	54.0292	-0.2410
en-uk	Gemini-1.5-Pro	bleu	flores200	36.6218	36.5863	-0.0355
en-uk	Gemini-1.5-Pro	chrfpp	flores200	54.2703	54.1978	-0.0725
en-uk	Gemini-1.5-Pro	bleu	spm32k	36.6218	36.5537	-0.0681
en-uk	Gemini-1.5-Pro	chrfpp	spm32k	54.2703	54.1990	-0.0713
en-uk	Gemini-1.5-Pro	bleu	spm64k	36.6218	36.5691	-0.0527
en-uk	Gemini-1.5-Pro	chrfpp	spm64k	54.2703	54.2074	-0.0629
en-uk	Gemini-1.5-Pro	bleu	spm128k	36.6218	36.5717	-0.0501
en-uk	Gemini-1.5-Pro	chrfpp	spm128k	54.2703	54.1965	-0.0737
en-uk	Gemini-1.5-Pro	bleu	spm256k	36.6218	36.5630	-0.0587
en-uk	Gemini-1.5-Pro	chrfpp	spm256k	54.2703	54.1839	-0.0864
en-uk	Mistral-Large	bleu	none	33.6041	33.3631	-0.2410
en-uk	Mistral-Large	chrfpp	none	51.6294	51.3733	-0.2562
en-uk	Mistral-Large	bleu	flores200	33.6041	33.5781	-0.0260
en-uk	Mistral-Large	chrfpp	flores200	51.6294	51.5621	-0.0673
en-uk	Mistral-Large	bleu	spm32k	33.6041	33.5718	-0.0323
en-uk	Mistral-Large	chrfpp	spm32k	51.6294	51.5777	-0.0517
en-uk	Mistral-Large	bleu	spm64k	33.6041	33.5636	-0.0405
en-uk	Mistral-Large	chrfpp	spm64k	51.6294	51.5695	-0.0599
en-uk	Mistral-Large	bleu	spm128k	33.6041	33.5707	-0.0333
en-uk	Mistral-Large	chrfpp	spm128k	51.6294	51.5637	-0.0657
en-uk	Mistral-Large	bleu	spm256k	33.6041	33.5782	-0.0258
en-uk	Mistral-Large	chrfpp	spm256k	51.6294	51.5730	-0.0565
en-uk	Claude-3.5	bleu	none	39.0039	38.8169	-0.1870
en-uk	Claude-3.5	chrfpp	none	55.6295	55.4355	-0.1940
